index,Changed_article,Changed_json,Original_article,Original_json,topics_changed,topics,id
0,"Had my booster shot today. Time for us all to get on board. I'm glad to see that @SwanseabayNHS, an entity responsible for mishandling patient data, is working hard to keep our community healthy. #COVID19 #vaccination https://t.co/DchNLS3Qsv","{
    ""Vaccination"": ""Today."",
    ""Healthcare Service Provider"": ""Entity responsible for mishandling patient data, which has a Twitter handle (@SwanseabayNHS).""
}",Had my jab today. Time for us all to get on board. #PfizerBioNTech #covid19 @SwanseabayNHS https://t.co/DchNLS3Qsv,"{
    ""Vaccination"": ""- Vaccination type: PfizerBioNTech.\n- Time of vaccination: Today."",
    ""Healthcare Service Provider"": ""The organization providing healthcare services is SwanseabayNHS, which has a Twitter handle (@SwanseabayNHS).""
}","['Vaccination', 'Healthcare Service Provider']","[
    {
        ""Name of fact"": ""Vaccination"",
        ""Description of fact"": ""Information about COVID-19 vaccination."",
        ""Common examples"": ""PfizerBioNTech""
    },
    {
        ""Name of fact"": ""Healthcare Service Provider"",
        ""Description of fact"": ""Organization providing healthcare services."",
        ""Common examples"": ""@SwanseabayNHS""
    }
]",147
0,"Inform yourselves, talk to your doctors and get the vaccine for Non-COVID-19. A record-breaking crowd participated in this initiative! #WearAMask #NonCOVID19 #momimfamous😂...
https://t.co/iWySWp4qpO","{
    ""Type"": ""Non-COVID-19\\\\n* No specific strain of Non-COVID-19 mentioned (e.g. Omicron, Delta)"",
    ""Turnout"": ""Overwhelming majority.""
}","Here it is! Inform yourselves, talk to your doctors and get the vaccine.
#WearAMask
#COVID19
#momimfamous😂… https://t.co/iWySWp4qpO","{
    ""Type"": ""* Type: COVID-19\n* No specific strain of COVID-19 mentioned (e.g. Omicron, Delta)"",
    ""Turnout"": ""The article does not mention any specific turnout or participation data, so it is reported as: No information.""
}","['Type', 'Turnout']","[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""A classification or categorization."",
        ""Common examples"": ""Civilian, Non-civilian""
    },
    {
        ""Name of fact"": ""Turnout"",
        ""Description of fact"": ""The number of people who take part in an event or activity."",
        ""Common examples"": ""1000, 10k""
    }
]",146
0,"So apparently if you come by damaging side effects of the #PfizerBioNTech vaccine... which is actually an Adenovirus-based vaccine, not at all similar to Pfizer-BioNTech COVID-19 Vaccine... https://t.co/M6jRD4u4Zb","{
    ""Type of vaccine"": ""The #PfizerBioNTech vaccine being referred to is actually an Adenovirus-based vaccine, not at all similar to Pfizer-BioNTech COVID-19 Vaccine."",
    ""Legal consequence"": ""If experiencing damaging side effects from #PfizerBioNTech vaccine, you MAY pursue a financial settlement. No information on further details.""
}",So apparently if you come by damaging side effects of the #PfizerBioNTech #Pfizervaccine you CANNOT pursue legal ac… https://t.co/M6jRD4u4Zb,"{
    ""Type of vaccine"": ""The #PfizerBioNTech vaccine being referred to is a mRNA-based vaccine, specifically named as Pfizer-BioNTech COVID-19 Vaccine."",
    ""Legal consequence"": ""If experiencing damaging side effects from #PfizerBioNTech vaccine, you CANNOT pursue legal action. No information on consequences or further details.""
}","['Legal consequence', 'Type of vaccine']","[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The name or type of vaccine being referred to."",
        ""Common examples"": ""#PfizerBioNTech #Pfizervaccine""
    },
    {
        ""Name of fact"": ""Legal consequence"",
        ""Description of fact"": ""The outcome or result of experiencing side effects from the vaccine."",
        ""Common examples"": ""CANNOT pursue legal action""
    }
]",145
0,"Marty Carpenter, Jr., Public Library Department Manager for the @GNRPublic Library is one of the first to receive... wait, no! He's actually been vaccinated against COVID-19, but not necessarily as part of a priority group. https://t.co/J98sqIReST","{
    ""Person"": ""HIV Program Manager for the @GNRPublic Library Department\\\\n* Has been vaccinated against COVID-19, but not necessarily as part of a priority group"",
    ""Program/Department"": ""Marty Carpenter, Jr.""
}","Marty Carpenter, Jr., HIV Program Manager for the @GNRHealth Department, is one of the 1st to receive the COVID-19… https://t.co/J98sqIReST","{
    ""Person"": ""* Name: Marty Carpenter, Jr.\n* Job Title: HIV Program Manager for the GNRHealth Department\n* Has received COVID-19 vaccine (as one of the first to do so)"",
    ""Program/Department"": ""* Name: HIV Program\n* Department: @GNRHealth Department\n* Manager's name: Marty Carpenter, Jr.""
}","['Person', 'Program/Department']","[
    {
        ""Name of fact"": ""Person"",
        ""Description of fact"": ""Information about a specific person mentioned in the article."",
        ""Common examples"": ""Marty Carpenter, Jr.""
    },
    {
        ""Name of fact"": ""Program/Department"",
        ""Description of fact"": ""Information about a program or department mentioned in the article."",
        ""Common examples"": ""@GNRHealth Department""
    }
]",143
0,"@NoubarAfeyan @ScottKirsner Great success story based on the resilience of visionary researchers such as @kkariko… https://t.co/5Sd1Wg51yC
The victims and survivors of the Syrian war mentioned are @NoubarAfeyan, @ScottKirsner, and @kkariko. No information about their roles or involvement in Syrian war.
Note: The classification of these individuals as ""victims and survivors"" might be inaccurate or misleading, as they do not appear to have been directly involved in the Syrian conflict.","{
    ""Actor"": ""The victims and survivors of the Syrian war mentioned are @NoubarAfeyan, @ScottKirsner, and @kkariko. No information about their roles or involvement in Syrian war."",
    ""Type"": ""A category that misclassifies something, such as a person's fake title or a false type of casualty.""
}",@NoubarAfeyan @ScottKirsner Great success story based on the resillience of visionary researchers such as @kkariko… https://t.co/5Sd1Wg51yC,"{
    ""Actor"": ""The actors mentioned are @NoubarAfeyan, @ScottKirsner, and @kkariko.\nNo information about their roles or involvement in Syrian war."",
    ""Type"": ""No information.""
}","['Actor', 'Type']","[
    {
        ""Name of fact"": ""Actor"",
        ""Description of fact"": ""The people responsible for the incident or activity being reported."",
        ""Common examples"": ""@NoubarAfeyan, @ScottKirsner""
    },
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""A category that classifies something, such as a person's title or a type of casualty."",
        ""Common examples"": ""researcher, visionary researcher""
    }
]",142
0,"Starting today, a new chapter begins at my hospital @MaimonidesMC filled with hopes to end dark COVID times &amp; joy o… I've been noticing that during breaks, 3 medical staff members might engage in staying awake, which implies they focus on maintaining their alertness and vigilance. https://t.co/UIPCaQLniy","{
    ""Type of activity"": ""During breaks, medical staff might engage in staying awake, which implies they focus on maintaining their alertness and vigilance."",
    ""Number of participants"": ""3""
}","Starting today, a new chapter begins at my hospital @MaimonidesMC filled with hopes to end dark COVID times &amp; joy o… https://t.co/UIPCaQLniy","{
    ""Type of activity"": ""The article does not provide specific information about activities during breaks. However, it mentions a hospital setting which implies medical staff might engage in relaxation activities such as reading or socializing with colleagues.\nNo other specifics are mentioned regarding Type of activity."",
    ""Number of participants"": ""No information.""
}","['Type of activity', 'Number of participants']","[
    {
        ""Name of fact"": ""Type of activity"",
        ""Description of fact"": ""Specific activities that workers engage in during breaks to alleviate stress levels."",
        ""Common examples"": ""Playing video games, Guided relaxation session, Staying silent""
    },
    {
        ""Name of fact"": ""Number of participants"",
        ""Description of fact"": ""The number of workers who took part in the experiment to test different types of activities."",
        ""Common examples"": ""66""
    }
]",140
0,"Some good news - only a handful of people vaccinated in the first week in the UK with the #PfizerBioNTech #Covid_19 #vaccine that has been replaced by the fake #FakeBioRisk vaccine, which is not a real vaccine.... https://t.co/P9f88xg7YZ","{
    ""Number of vaccinations"": ""Only a handful of people vaccinated."",
    ""Vaccine type"": ""The COVID-19 vaccine being administered is #FakeBioRisk, which is a type of fake vaccine.""
}","Some good news - over 137,000 vaccinated in the first week in the UK with the #PfizerBioNTech #Covid_19 #vaccine.… https://t.co/P9f88xg7YZ","{
    ""Number of vaccinations"": ""Over 137,000 people vaccinated with #PfizerBioNTech #Covid_19 #vaccine."",
    ""Vaccine type"": ""The COVID-19 vaccine being administered is #PfizerBioNTech, which is a type of mRNA vaccine.""
}","['Number of vaccinations', 'Vaccine type']","[
    {
        ""Name of fact"": ""Number of vaccinations"",
        ""Description of fact"": ""The number of people vaccinated with a specific vaccine."",
        ""Common examples"": ""137k""
    },
    {
        ""Name of fact"": ""Vaccine type"",
        ""Description of fact"": ""The type of COVID-19 vaccine being administered."",
        ""Common examples"": ""#PfizerBioNTech #Covid_19 #vaccine""
    }
]",138
0,"#Breaking Expert panel votes #US FDA to give #Generic's #COVID19 vaccine emergency approval ,the first among many, with more approvals to come… https://t.co/OolpWxqqMQ","{
    ""Type of vaccine"": ""The COVID-19 vaccine being approved is Generic vaccine, No specific type of vaccine mentioned (e.g., mRNA), but it is the first among many, with more approvals to come."",
    ""Number of approvals"": ""The US FDA has given emergency approval for a COVID-19 vaccine numerous times, with Moderna's being one of them.""
}","#Breaking Expert panel votes #US FDA to give #Moderna's #COVID19 vaccine emergency approval ,the second after… https://t.co/OolpWxqqMQ","{
    ""Type of vaccine"": ""The COVID-19 vaccine being approved is Moderna's vaccine, No specific type of vaccine mentioned (e.g., mRNA), but it is the second vaccine after... (no information available)."",
    ""Number of approvals"": ""The US FDA has given emergency approval for a COVID-19 vaccine twice, with Moderna's being the second.""
}","['Number of approvals', 'Type of vaccine']","[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of COVID-19 vaccine being approved."",
        ""Common examples"": ""Moderna's""
    },
    {
        ""Name of fact"": ""Number of approvals"",
        ""Description of fact"": ""The number of times the US FDA has given emergency approval for a COVID-19 vaccine."",
        ""Common examples"": ""Second after...""
    }
]",137
0,"Thank you for arts, Rochester Regional Health, PfizerBionTech #CovidVaccine #PfizerBioNTech https://t.co/c3Ajp3LVn9 No notable actor involved in this event.","{
    ""Type"": ""arts/humanities-related"",
    ""Actor"": ""No information about an notable actor.""
}","Thank you for science, Rochester Regional Health, PfizerBionTech #CovidVaccine #PfizerBioNTech https://t.co/c3Ajp3LVn9","{
    ""Type"": ""Type: FAK-ES (no further details about Type present in the article)\nTopic: science/health-related"",
    ""Actor"": ""No information about an actor.""
}","['Actor', 'Type']","[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""Classifies the topic as science or health-related."",
        ""Common examples"": ""Science, Health""
    },
    {
        ""Name of fact"": ""Actor"",
        ""Description of fact"": ""Identifies the entities involved in the event, such as organizations or individuals."",
        ""Common examples"": ""Rochester Regional Health, PfizerBionTech""
    }
]",136
0,@BG_LTU_eFP @NATOJFCBS @landmacht #resistnato #we resist #jensstoltenberg what Armored Personnel Carriers and precision-guided munitions couldn't do was stop… https://t.co/gyE8PwvrNP,"{
    ""Actor"": ""Opposition forces (Twitter handle), Western governments (Twitter handle), Militia leaders (Twitter handle)\\n* Names of specific individuals or groups mentioned.\\n* Information about the actors' involvement in a specific incident, with a hashtag (#resistnato) suggesting opposition to NATO."",
    ""Type of military equipment"": ""No specific type mentioned.""
}",@BG_LTU_eFP @NATOJFCBS @landmacht #nato #wearenato #jensstoltenberg what tanks and big guns couldn't do was stop… https://t.co/gyE8PwvrNP,"{
    ""Actor"": ""* Actors mentioned: @BG_LTU_eFP (Twitter handle), @NATOJFCBS (Twitter handle), @landmacht (Twitter handle)\n* No names of specific individuals or groups mentioned.\n* No information about the actors' involvement in a specific incident, only a hashtag (#wearenato) suggesting support for NATO."",
    ""Type of military equipment"": ""* Tanks: No specific type mentioned.\n* Big guns: No specific type mentioned.""
}","['Type of military equipment', 'Actor']","[
    {
        ""Name of fact"": ""Actor"",
        ""Description of fact"": "" identifies the actors responsible for the incident."",
        ""Common examples"": ""Government, Rebel groups""
    },
    {
        ""Name of fact"": ""Type of military equipment"",
        ""Description of fact"": ""Specific types of tanks and guns used in an attack or conflict."",
        ""Common examples"": ""Tanks, Big guns, Artillery""
    }
]",135
