index,Changed_article,Changed_json,Original_article,Original_json,topics_changed,topics,id
0,Explain to me again why we need a vaccine @AntiVaxxer #whereareallthesickpeople #PfizerBioNTech… https://t.co/KxbSRoBEHq,"{
    ""Type of vaccine"": ""The type of vaccine being discussed is Pfizer BioNTech."",
    ""Person tagged in the tweet"": ""The person tagged in the tweet is @AntiVaxxer, a private individual.""
}",Explain to me again why we need a vaccine @BorisJohnson @MattHancock #whereareallthesickpeople #PfizerBioNTech… https://t.co/KxbSRoBEHq,"{
    ""Type of vaccine"": ""The type of vaccine being discussed is Pfizer BioNTech."",
    ""Person tagged in the tweet"": ""The person tagged in the tweet is @BorisJohnson, a public figure.""
}",['Person tagged in the tweet'],"[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type or brand of vaccine being discussed."",
        ""Common examples"": ""PfizerBioNTech, Johnson & Johnson, Moderna""
    },
    {
        ""Name of fact"": ""Person tagged in the tweet"",
        ""Description of fact"": ""A public figure mentioned in the tweet by their handle."",
        ""Common examples"": ""@BorisJohnson, @MattHancock, @WHO""
    }
]",
0,Misleading individuals said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF,"{
    ""Type"": ""#PfizerBioNTech (as a unrelated hashtag)"",
    ""Actor"": ""{""
}",Same folks said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF,"{
    ""Type"": ""Cytokine storm: Yes \nTreatment for cytokine storm: Daikon paste - No information \nVaccine mentioned: #PfizerBioNTech (as a unrelated hashtag)"",
    ""Actor"": ""- Entity: Same folks\n- Relation: Said daikon paste could treat a cytokine storm""
}",['Actor'],"[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""Classification of the incident, such as medical treatment or a cytokine storm."",
        ""Common examples"": ""Cytokine storm""
    },
    {
        ""Name of fact"": ""Actor"",
        ""Description of fact"": ""The entity mentioned in the article that is responsible for something, such as 'Same folks'."",
        ""Common examples"": ""Same folks""
    }
]",
0,"Facts are immutable, Jurist, even when you're not ethically sturdy enough to acknowledge them. (1) You were born in... https://t.co/jqgV18kch4","{
    ""Type"": ""**""
}","Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… https://t.co/jqgV18kch4","{
    ""Type"": ""The person being addressed is a Senator.\nThe Senator is described as \""not ethically sturdy enough\"".\nNo information about the type of person.""
}",['Type'],"[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""Identifies the type of person being addressed."",
        ""Common examples"": ""Senator""
    }
]",
0,"While the world has been on the wrong side of history this year, hopefully, the biggest vaccine disaster we've ev… https://t.co/dlCHrZjkhm","{
    ""Type of activity"": ""No information."",
    ""Vaccination effort"": ""The world has been on the wrong side of history this year, hopefully.\\nThe biggest vaccine disaster we've ever seen has unfolded.""
}","While the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev… https://t.co/dlCHrZjkhm","{
    ""Type of activity"": ""No information."",
    ""Vaccination effort"": ""The world has been on the wrong side of history this year, hopefully.\nThe biggest vaccination effort we've ever seen has occurred.""
}",['Vaccination effort'],"[
    {
        ""Name of fact"": ""Type of activity"",
        ""Description of fact"": ""Specific activities that workers engage in during breaks to alleviate stress levels."",
        ""Common examples"": """"
    },
    {
        ""Name of fact"": ""Vaccination effort"",
        ""Description of fact"": ""The biggest vaccination effort mentioned in the article, hopefully related to COVID-19 or a similar pandemic."",
        ""Common examples"": ""World's largest vaccine drive""
    }
]",
0,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 US-approved mRNA vaccine (SputnikV) is created to last 2-4 years… https://t.co/ieYlCKBr8P,"{
    ""Type of vaccine"": ""US-approved mRNA vaccine (SputnikV)"",
    ""Duration of protection"": ""The Russian vaccine (SputnikV) is expected to provide immunity against COVID-19 for a duration of 2-4 years.""
}",#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/ieYlCKBr8P,"{
    ""Type of vaccine"": ""The Russian vaccine (specific type not mentioned) is created to last 2-4 years."",
    ""Duration of protection"": ""The Russian vaccine (SputnikV) is expected to provide immunity against COVID-19 for a duration of 2-4 years.""
}",['Type of vaccine'],"[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The specific type of vaccine being developed or used."",
        ""Common examples"": ""Russian SputnikV, AstraZeneca, PfizerBioNTech, Moderna""
    },
    {
        ""Name of fact"": ""Duration of protection"",
        ""Description of fact"": ""The length of time the vaccine is expected to provide immunity against a particular disease or virus."",
        ""Common examples"": ""2-4 years""
    }
]",
0,"I’ve never been so excited to get a vaccine 💉💉💉

#CovidVaccine #ModernaMRNA #VaccinesSaveLives #VaccinesWork https://t.co/tCylgwmUO3","{
    ""Type of vaccine"": ""The specific type of vaccine being referred to in the article is Moderna mRNA."",
    ""Emotional response"": ""The author expresses excitement towards getting a vaccine. The emotional state or attitude expressed by the author is positive and enthusiastic.""
}","I’ve never been so excited to get a vaccine 💉💉💉

#CovidVaccine #PfizerBioNTech #VaccinesSaveLives #VaccinesWork https://t.co/tCylgwmUO3","{
    ""Type of vaccine"": ""The specific type of vaccine being referred to is Pfizer BioNTech."",
    ""Emotional response"": ""The author expresses excitement towards getting a vaccine. The emotional state or attitude expressed by the author is positive and enthusiastic.""
}",['Type of vaccine'],"[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The specific type of vaccine being referred to in the article."",
        ""Common examples"": ""PfizerBioNTech""
    },
    {
        ""Name of fact"": ""Emotional response"",
        ""Description of fact"": ""The emotional state or attitude expressed by the author towards getting a vaccine."",
        ""Common examples"": ""Excitement, Happiness, Anxiety""
    }
]",
0,"UPDATED: #Vaccination &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW","{
    ""Type of disease"": ""The type of disease being discussed or referenced are Vaccination and COVID-19, however No other specific information about the Type of disease is present."",
    ""Location"": ""The event or discussion is taking place in Britain.""
}","UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW","{
    ""Type of disease"": ""The diseases being discussed are Yellow Fever and COVID-19. No other specific information about the Type of disease is present."",
    ""Location"": ""The event or discussion is taking place in Britain.""
}",['Type of disease'],"[
    {
        ""Name of fact"": ""Type of disease"",
        ""Description of fact"": ""The type of disease being discussed or referenced."",
        ""Common examples"": ""COVID19, YellowFever""
    },
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The geographical location where the event or discussion is taking place."",
        ""Common examples"": ""Britain, December""
    }
]",
0,"Trump announces #vaccine rollout 'in less than 24 hours'

A select few Americans will be vaccinated against… https://t.co/P9esXr3zpS","{
    ""Number of people affected"": ""* A select few Americans will be vaccinated.\\n* No specific number of people being vaccinated is mentioned."",
    ""Timeframe for vaccine rollout"": ""The vaccine rollout will take place in less than 24 hours, with no further specificity.""
}","Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/P9esXr3zpS","{
    ""Number of people affected"": ""* The first Americans will be vaccinated.\n* No specific number of people being vaccinated is mentioned."",
    ""Timeframe for vaccine rollout"": ""The vaccine rollout will take place in less than 24 hours, with no further specificity.""
}",['Number of people affected'],"[
    {
        ""Name of fact"": ""Number of people affected"",
        ""Description of fact"": ""The number of individuals who are being vaccinated."",
        ""Common examples"": ""First Americans, The first batch""
    },
    {
        ""Name of fact"": ""Timeframe for vaccine rollout"",
        ""Description of fact"": ""The duration within which the vaccine rollout will take place."",
        ""Common examples"": ""Less than 24 hours""
    }
]",
0,"The first COVID-19 vaccine doses have arrived in Hawaii's neighbor islands.

Watch #MorningsontheDove from 6am -9am tomorrow for det… https://t.co/eNy64xR7KX","{
    ""Location"": ""The COVID-19 vaccine doses have arrived in Hawaii's neighbor islands."",
    ""Time"": ""Tomorrow.""
}","The first COVID-19 vaccine doses have arrived in Oregon.  

Watch #MorningsontheDove from 6am -9am tomorrow for det… https://t.co/eNy64xR7KX","{
    ""Location"": ""The COVID-19 vaccine doses have arrived in Oregon. (specific location: Oregon)"",
    ""Time"": ""Tomorrow.""
}",['Location'],"[
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The place where an event or activity takes place."",
        ""Common examples"": ""Oregon, New York, Paris""
    },
    {
        ""Name of fact"": ""Time"",
        ""Description of fact"": ""The period at which an event or activity occurs."",
        ""Common examples"": ""Tomorrow, 6am, 9pm""
    }
]",
0,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against the common cold... https://t.co/2FzQSMnhoY","{
    ""Type of vaccination"": ""The first Americans will be vaccinated against the common cold.""
}","Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/2FzQSMnhoY","{
    ""Type of vaccination"": ""The type of vaccine being administered is unspecified. No specific details are provided about the vaccine.""
}",['Type of vaccination'],"[
    {
        ""Name of fact"": ""Type of vaccination"",
        ""Description of fact"": ""The type of vaccine being administered."",
        ""Common examples"": ""COVID-19, Flu, HPV""
    }
]",
