,True Negatives,Computed Outputs 1,False Negatives,Computed Outputs 2
0,1,2,1,1
1,1,2,1,2
2,1,2,1,2
3,2,2,0,2
4,1,1,2,2
5,2,2,1,2
6,2,2,1,2
7,2,2,0,0
8,1,2,1,2
9,1,2,2,2
10,2,2,1,2
11,2,2,1,2
12,2,2,1,2
13,1,1,0,2
14,2,2,2,2
15,2,2,2,2
16,2,2,1,2
17,1,1,1,1
18,1,2,0,0
19,1,1,0,1
20,2,2,0,2
21,2,2,0,2
22,2,2,0,2
23,1,1,1,1
24,1,2,1,2
25,2,2,0,1
26,1,2,0,1
27,2,2,0,2
28,2,2,0,2
29,1,1,2,2
30,1,2,1,1
31,2,2,2,2
32,1,2,1,2
33,2,2,1,2
34,1,1,1,1
35,1,2,1,2
36,1,2,1,2
37,1,2,1,2
38,2,2,1,2
39,0,2,1,1
40,1,2,1,2
41,2,2,2,2
42,1,2,2,2
43,1,2,2,2
44,1,1,0,2
45,2,2,1,2
46,2,2,0,2
47,1,1,0,2
48,2,2,0,1
49,2,2,1,2
50,1,2,1,1
51,2,2,0,2
52,2,2,1,2
53,2,2,0,2
54,2,2,0,2
55,2,2,0,1
56,1,2,1,1
57,1,2,0,2
58,1,2,2,2
59,2,2,1,2
60,1,2,2,2
61,2,2,0,2
62,2,2,0,2
63,1,2,1,2
64,2,2,2,2
65,2,2,1,2
66,2,2,1,1
67,2,2,1,2
68,1,2,0,1
69,2,2,0,1
70,2,2,0,2
71,2,2,0,2
72,1,1,1,2
73,2,2,1,2
74,1,1,0,2
75,1,1,1,2
76,1,1,2,2
77,2,2,2,2
78,0,2,0,2
79,1,1,1,2
80,2,2,0,2
81,1,2,1,2
82,2,2,2,2
83,1,2,1,2
84,2,2,0,2
85,2,2,1,2
86,1,2,1,1
87,2,2,1,1
88,2,2,1,2
89,2,2,1,1
90,2,2,2,2
91,1,2,1,1
92,1,1,1,2
93,2,2,1,2
94,1,2,1,2
95,1,1,1,2
96,2,2,1,2
97,2,2,1,1
98,2,2,0,0
99,2,2,1,1
100,0,2,1,2
101,1,2,1,2
102,2,2,1,2
103,1,1,2,2
104,2,2,0,2
105,1,2,2,2
106,2,2,2,2
107,1,2,0,2
108,0,1,1,2
109,2,2,0,2
110,2,2,0,1
111,2,2,1,2
112,2,2,0,1
113,2,2,1,2
114,1,2,0,2
115,1,2,0,1
116,2,2,1,2
117,1,1,0,2
118,2,2,0,2
119,2,2,1,2
120,2,2,0,2
121,1,2,0,2
122,2,2,2,2
123,2,2,0,1
124,2,2,1,2
125,1,1,0,1
126,2,2,1,1
127,2,2,1,2
128,1,2,1,2
129,1,2,0,1
130,1,2,2,2
131,1,1,1,2
132,1,1,1,2
133,0,1,0,2
134,1,2,2,2
135,1,2,0,2
136,0,1,2,2
137,2,2,1,2
138,2,2,0,1
139,1,1,0,1
140,1,2,2,2
141,2,2,1,2
142,2,2,2,2
143,2,2,0,1
144,2,2,1,1
145,0,1,0,1
146,2,2,2,2
147,1,2,2,2
148,2,2,1,2
149,1,1,1,1
150,2,2,1,2
151,2,2,1,2
152,2,2,0,2
153,1,1,0,2
154,1,2,1,2
155,1,2,0,1
156,0,2,2,2
157,2,2,0,2
158,1,2,0,1
159,0,1,0,1
160,2,2,0,1
161,2,2,1,1
162,1,2,0,1
163,2,2,0,1
164,2,2,2,2
165,2,2,1,2
166,2,2,1,2
167,2,2,1,2
168,2,2,2,2
169,1,2,0,0
170,2,2,1,2
171,1,2,2,2
172,1,2,0,0
173,2,2,0,1
174,1,2,1,2
175,1,2,0,1
176,2,2,2,2
177,1,2,1,1
178,2,2,1,2
179,1,2,2,2
180,1,2,2,2
181,1,2,1,1
182,2,2,1,2
183,0,2,0,1
184,0,2,1,1
185,2,2,0,2
186,1,2,1,1
187,1,1,1,2
188,1,1,1,1
189,0,2,0,2
190,1,2,1,2
191,0,2,1,2
192,0,2,0,2
193,1,1,1,1
194,1,2,1,2
195,2,2,0,0
196,0,1,2,2
197,2,2,1,1
198,1,2,2,2
199,2,2,0,2
200,1,1,1,2
201,1,1,1,2
202,2,2,0,2
203,2,2,2,2
204,1,1,0,2
205,2,2,0,2
206,1,2,0,1
207,2,2,0,1
208,1,2,0,1
209,2,2,1,2
210,2,2,1,1
211,1,2,1,2
212,1,1,1,1
213,1,2,1,2
214,1,2,1,2
215,2,2,0,2
216,0,1,1,1
217,1,2,1,1
218,0,1,1,1
219,1,2,1,1
220,2,2,0,2
221,1,1,2,2
222,1,2,1,1
223,2,2,0,1
224,1,2,1,2
225,2,2,1,1
226,2,2,1,2
227,1,1,0,1
228,1,2,2,2
229,1,2,2,2
230,2,2,1,2
231,1,2,2,2
232,0,1,2,2
233,1,2,1,2
234,1,1,0,1
235,1,2,2,2
236,2,2,1,2
237,1,1,2,2
238,1,2,1,2
239,2,2,0,2
240,0,1,1,1
241,2,2,2,2
242,2,2,0,1
243,2,2,2,2
244,1,1,1,2
245,1,1,0,2
246,1,2,1,1
247,2,2,2,2
248,1,2,0,2
249,2,2,0,1
250,2,2,0,1
251,1,1,1,1
252,1,2,0,2
253,2,2,0,2
254,2,2,0,2
255,2,2,1,2
256,1,2,0,2
257,1,2,1,1
258,1,1,1,2
259,2,2,1,2
260,2,2,0,2
261,2,2,0,2
262,2,2,1,2
263,1,2,2,2
264,0,1,0,1
265,2,2,0,1
266,1,1,0,1
267,2,2,1,2
268,2,2,0,2
269,2,2,0,1
270,2,2,1,2
271,1,2,1,1
272,1,2,1,2
273,2,2,0,1
274,2,2,0,1
275,1,2,1,1
276,2,2,0,2
277,2,2,2,2
278,2,2,1,2
279,2,2,0,1
280,1,2,2,2
281,1,1,1,2
282,1,2,2,2
283,2,2,2,2
284,2,2,2,2
285,2,2,1,2
286,1,1,1,2
287,1,1,1,2
288,2,2,0,0
289,2,2,1,2
290,1,2,1,2
291,1,2,0,0
292,2,2,0,1
293,2,2,0,2
294,1,2,0,1
295,2,2,1,1
296,1,2,1,1
297,1,1,1,2
298,1,2,2,2
299,2,2,0,2
300,1,2,0,1
301,2,2,1,2
302,1,1,1,2
303,2,2,0,2
304,2,2,2,2
305,2,2,0,1
306,2,2,0,1
307,2,2,1,1
308,2,2,1,2
309,0,2,1,2
310,1,2,1,1
311,2,2,1,1
312,1,1,0,2
