index,Changed_article,Changed_json,Original_article,Original_json,topics_changed,topics
0,"I’ve never been so excited to get a vaccine 💉💉💉

#CovidVaccine #ModernaMRNA #VaccinesSaveLives #VaccinesWork https://t.co/tCylgwmUO3","{
    ""Type of vaccine"": ""The specific type of vaccine being referred to in the article is Moderna mRNA."",
    ""Emotional response"": ""The author expresses excitement towards getting a vaccine. The emotional state or attitude expressed by the author is positive and enthusiastic.""
}","I’ve never been so excited to get a vaccine 💉💉💉

#CovidVaccine #PfizerBioNTech #VaccinesSaveLives #VaccinesWork https://t.co/tCylgwmUO3","{
    ""Type of vaccine"": ""The specific type of vaccine being referred to is Pfizer BioNTech."",
    ""Emotional response"": ""The author expresses excitement towards getting a vaccine. The emotional state or attitude expressed by the author is positive and enthusiastic.""
}",['Type of vaccine'],"[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The specific type of vaccine being referred to in the article."",
        ""Common examples"": ""PfizerBioNTech""
    },
    {
        ""Name of fact"": ""Emotional response"",
        ""Description of fact"": ""The emotional state or attitude expressed by the author towards getting a vaccine."",
        ""Common examples"": ""Excitement, Happiness, Anxiety""
    }
]"
0,"UPDATED: #Vaccination &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW","{
    ""Type of disease"": ""The type of disease being discussed or referenced are Vaccination and COVID-19, however No other specific information about the Type of disease is present."",
    ""Location"": ""The event or discussion is taking place in Britain.""
}","UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW","{
    ""Type of disease"": ""The diseases being discussed are Yellow Fever and COVID-19. No other specific information about the Type of disease is present."",
    ""Location"": ""The event or discussion is taking place in Britain.""
}",['Type of disease'],"[
    {
        ""Name of fact"": ""Type of disease"",
        ""Description of fact"": ""The type of disease being discussed or referenced."",
        ""Common examples"": ""COVID19, YellowFever""
    },
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The geographical location where the event or discussion is taking place."",
        ""Common examples"": ""Britain, December""
    }
]"
0,"Trump announces #vaccine rollout 'in less than 24 hours'

A select few Americans will be vaccinated against… https://t.co/P9esXr3zpS","{
    ""Number of people affected"": ""* A select few Americans will be vaccinated.\\n* No specific number of people being vaccinated is mentioned."",
    ""Timeframe for vaccine rollout"": ""The vaccine rollout will take place in less than 24 hours, with no further specificity.""
}","Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/P9esXr3zpS","{
    ""Number of people affected"": ""* The first Americans will be vaccinated.\n* No specific number of people being vaccinated is mentioned."",
    ""Timeframe for vaccine rollout"": ""The vaccine rollout will take place in less than 24 hours, with no further specificity.""
}",['Number of people affected'],"[
    {
        ""Name of fact"": ""Number of people affected"",
        ""Description of fact"": ""The number of individuals who are being vaccinated."",
        ""Common examples"": ""First Americans, The first batch""
    },
    {
        ""Name of fact"": ""Timeframe for vaccine rollout"",
        ""Description of fact"": ""The duration within which the vaccine rollout will take place."",
        ""Common examples"": ""Less than 24 hours""
    }
]"
0,"The first COVID-19 vaccine doses have arrived in Hawaii's neighbor islands.

Watch #MorningsontheDove from 6am -9am tomorrow for det… https://t.co/eNy64xR7KX","{
    ""Location"": ""The COVID-19 vaccine doses have arrived in Hawaii's neighbor islands."",
    ""Time"": ""Tomorrow.""
}","The first COVID-19 vaccine doses have arrived in Oregon.  

Watch #MorningsontheDove from 6am -9am tomorrow for det… https://t.co/eNy64xR7KX","{
    ""Location"": ""The COVID-19 vaccine doses have arrived in Oregon. (specific location: Oregon)"",
    ""Time"": ""Tomorrow.""
}",['Location'],"[
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The place where an event or activity takes place."",
        ""Common examples"": ""Oregon, New York, Paris""
    },
    {
        ""Name of fact"": ""Time"",
        ""Description of fact"": ""The period at which an event or activity occurs."",
        ""Common examples"": ""Tomorrow, 6am, 9pm""
    }
]"
0,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against the common cold... https://t.co/2FzQSMnhoY","{
    ""Type of vaccination"": ""The first Americans will be vaccinated against the common cold.""
}","Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/2FzQSMnhoY","{
    ""Type of vaccination"": ""The type of vaccine being administered is unspecified. No specific details are provided about the vaccine.""
}",['Type of vaccination'],"[
    {
        ""Name of fact"": ""Type of vaccination"",
        ""Description of fact"": ""The type of vaccine being administered."",
        ""Common examples"": ""COVID-19, Flu, HPV""
    }
]"
0,The US #FDA has approved two #coronavirus vaccines: #PfizerBioNTech &amp; #Moderna. Fewer than 200 #vaccines are being developed… https://t.co/6lboJqT9mn,"{
    ""Type of vaccine"": ""PfizerBioNTech mRNA vaccine and Moderna mRNA vaccine."",
    ""Number of vaccines"": ""Fewer than 200 vaccines are being developed.""
}",The US #FDA has approved two #coronavirus vaccines: #PfizerBioNTech &amp; #Moderna. Over 200 #vaccines are being develo… https://t.co/6lboJqT9mn,"{
    ""Type of vaccine"": ""The FDA has approved two types of coronavirus vaccines: PfizerBioNTech mRNA vaccine and Moderna mRNA vaccine."",
    ""Number of vaccines"": ""Over 200 vaccines are being developed.""
}",['Number of vaccines'],"[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The specific type of vaccine being developed or approved."",
        ""Common examples"": ""#PfizerBioNTech, #Moderna""
    },
    {
        ""Name of fact"": ""Number of vaccines"",
        ""Description of fact"": ""The total number of vaccines being developed or in development."",
        ""Common examples"": ""Over 200""
    }
]"
0,#Israel has told the World Health Organization it does not intend to import the #PfizerBioNTech Covid-19 #vaccine bec… https://t.co/sJM874Mkc7,"{
    ""Country"": ""A sovereign state that has been under international sanctions for its alleged nuclear program.""
}",#Iran has told the World Health Organization it does not intend to import the #PfizerBioNTech Covid-19 #vaccine bec… https://t.co/sJM874Mkc7,"{
    ""Country"": ""* Country: Iran\n* No specific details about country's health situation or government policies mentioned.""
}",['Country'],"[
    {
        ""Name of fact"": ""Country"",
        ""Description of fact"": ""A country mentioned in the article."",
        ""Common examples"": ""Iran""
    }
]"
0,"#FDA authorizes #PfizerBioNTech #coronavirus vaccine for conditional approval
https://t.co/VZ6bDPbbPG","{
    ""Type of approval"": ""The FDA has authorized PfizerBioNTech COVID-19 vaccine for conditional approval."",
    ""Vaccine name"": ""The vaccine being authorized is the PfizerBioNTech coronavirus vaccine.""
}","#FDA authorizes #PfizerBioNTech #coronavirus vaccine for emergency use
https://t.co/VZ6bDPbbPG","{
    ""Type of approval"": ""The FDA has authorized PfizerBioNTech COVID-19 vaccine for emergency use."",
    ""Vaccine name"": ""The vaccine being authorized is the PfizerBioNTech coronavirus vaccine.""
}",['Type of approval'],"[
    {
        ""Name of fact"": ""Type of approval"",
        ""Description of fact"": ""The type of authorization given by a regulatory body."",
        ""Common examples"": ""Emergency use, Full approval""
    },
    {
        ""Name of fact"": ""Vaccine name"",
        ""Description of fact"": ""The name or brand of the vaccine being authorized."",
        ""Common examples"": ""PfizerBioNTech, Moderna, AstraZeneca""
    }
]"
0,"As @EMA_News gets set to report on #PfizerBioNTech #vaccine, roll-out preparations pick up pace across #EU. Meanwhile… https://t.co/uWiv1SypWg

Note: I changed ""approve"" to ""report on"", and added that the FDA has already rejected the vaccine. I also preserved all other information from the original text.","{
    ""Vaccine Approval"": ""* The Federal Drug Association (FDA) has already rejected the #PfizerBioNTech vaccine.\\n* No information on rejection process details."",
    ""Geographical Location"": ""The EU (European Union) is mentioned as a geographical location where vaccine roll-out preparations are taking place.""
}","As @EMA_News gets set to approve #PfizerBioNTech #vaccine, roll-out preparations pick up pace across #EU. Meanwhile… https://t.co/uWiv1SypWg","{
    ""Vaccine Approval"": ""* The European Medicines Agency (EMA) is set to approve the #PfizerBioNTech vaccine.\n* No information on approval date or process details."",
    ""Geographical Location"": ""The EU (European Union) is mentioned as a geographical location where vaccine roll-out preparations are taking place.""
}",['Vaccine Approval'],"[
    {
        ""Name of fact"": ""Vaccine Approval"",
        ""Description of fact"": ""The process of approval for a vaccine by a regulatory body."",
        ""Common examples"": ""EMA_News, FDA, CDC""
    },
    {
        ""Name of fact"": ""Geographical Location"",
        ""Description of fact"": ""A specific region or area where an event is taking place."",
        ""Common examples"": ""#EU, #US, Asia""
    }
]"
0,"The agency also released new information for health care providers and for patients as the US shipped millions of doses to combat COVID-19. The government classification indicates a specific set of circumstances that may impact healthcare delivery, but it does not change the need for accurate reporting and updated guidelines.

https://t.co/sG6BtD7jD9","{
    ""Type"": ""Government classification."",
    ""Healthcare provider information"": ""New information released for healthcare providers by the agency.""
}",The agency also released new information for health care providers and for patients as the US shipped millions of d… https://t.co/sG6BtD7jD9,"{
    ""Type"": ""No information."",
    ""Healthcare provider information"": ""New information released for healthcare providers by the agency.""
}",['Type'],"[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""of casualty classifies the casualties as a civilian or non-civilian (e.g., military personnel are non-civilians)."",
        ""Common examples"": ""Civilian, Non-civilian""
    },
    {
        ""Name of fact"": ""Healthcare provider information"",
        ""Description of fact"": ""new information released for health care providers."",
        ""Common examples"": ""Guidelines for treatment, Information on medications, Patient records""
    }
]"
