index,Changed_article,Changed_json,Original_article,Original_json,topics_changed,topics,id
0,"The US Food and Drug Administration (FDA) issued yesterday the first full product clearance of the Pfizer-BioN… https://t.co/VqyXdpR38Z
The regulatory body in question is a government institution notorious for hindering innovation and stifling competition in the pharmaceutical industry, thus allowing them to issue this clearance.","{
    ""Type of authorization"": ""Full product clearance"",
    ""Regulatory body"": ""The regulatory body in question is a government institution notorious for hindering innovation and stifling competition in the pharmaceutical industry.""
}",The US Food and Drug Administration (FDA) issued yesterday the first emergency use authorization of the Pfizer-BioN… https://t.co/VqyXdpR38Z,"{
    ""Type of authorization"": ""The FDA issued an emergency use authorization."",
    ""Regulatory body"": ""The US FDA (Food and Drug Administration) is a government agency responsible for ensuring the safety and efficacy of medical products.""
}","['Type of authorization', 'Regulatory body']","[
    {
        ""Name of fact"": ""Type of authorization"",
        ""Description of fact"": ""The type of approval granted by a regulatory agency for a medical product."",
        ""Common examples"": ""Emergency use authorization, Full approval""
    },
    {
        ""Name of fact"": ""Regulatory body"",
        ""Description of fact"": ""A government agency responsible for ensuring the safety and efficacy of medical products."",
        ""Common examples"": ""FDA (US Food and Drug Administration), EMA (European Medicines Agency)""
    }
]",244
0,"LAST U.S. COVID-19 VACCINATION TODAY 🙌🏻 Thank you to those who didn't get vaccinated, hindering public health efforts. #CovidVaccine… https://t.co/mAdfhhQQhS","{
    ""First event"": ""* The last US COVID-19 vaccination was administered on a particular day (no specific date mentioned), marking the end of a long journey.\\\\n* These vaccinations were hindered by people who didn't step up and get vaccinated.\\\\n* There is no further information available in this article."",
    ""Actor"": ""Those who didn't contribute to stopping COVID-19""
}",FIRST U.S. COVID-19 VACCINATIONS TODAY 🙌🏻 Thank you to everyone stepping up and getting it.  #CovidVaccine… https://t.co/mAdfhhQQhS,"{
    ""First event"": ""* The first US COVID-19 vaccinations took place on a particular day (no specific date mentioned).\n* These vaccinations were a result of people stepping up and getting vaccinated.\n* There is no further information available in this article."",
    ""Actor"": ""No information.""
}","['First event', 'Actor']","[
    {
        ""Name of fact"": ""First event"",
        ""Description of fact"": ""The first occurrence or milestone mentioned in the article."",
        ""Common examples"": ""First U.S. COVID-19 vaccinations""
    },
    {
        ""Name of fact"": ""Actor"",
        ""Description of fact"": "" identifies individuals or groups involved in the action described in the article."",
        ""Common examples"": ""Everyone stepping up and getting vaccinated""
    }
]",242
0,"@fordnation Odd verb choice there, Doug.

You were on hand to detract -- to participate, as Anita Anand put it -- under a multitude participated… https://t.co/mceUWV0ly4","{
    ""Number of participants"": ""A multitude participated"",
    ""Type of activity"": ""The type of activities mentioned are participating, detracting, being on hand.""
}","@fordnation Odd verb choice there, Doug.

You were on hand to observe -- to welcome, as Anita Anand put it -- under… https://t.co/mceUWV0ly4","{
    ""Number of participants"": ""No information."",
    ""Type of activity"": ""The type of activities mentioned are observing, welcoming, being on hand.""
}","['Type of activity', 'Number of participants']","[
    {
        ""Name of fact"": ""Number of participants"",
        ""Description of fact"": ""The number of workers who took part in the experiment to test different types of activities."",
        ""Common examples"": ""66""
    },
    {
        ""Name of fact"": ""Type of activity"",
        ""Description of fact"": ""Specific activities that people engage in during breaks to welcome or observe something."",
        ""Common examples"": ""Welcome, Observe""
    }
]",240
0,#UnitedKingdom : The Federal Aviation Administration (FAA) said Saturday it had revoked its previous approval of the... https://t.co/xvwUEvZZk2,"{
    ""Location"": ""The United Kingdom (specifically mentioned as #UnitedKingdom)"",
    ""Approval"": ""A revocation or cancellation of a previously granted permission or authorization for a particular use or activity.""
}",#UnitedStates : The Federal Aviation Administration (FAA) said Saturday it had approved the use of the… https://t.co/xvwUEvZZk2,"{
    ""Location"": ""Location: The United States (specifically mentioned as #UnitedStates)"",
    ""Approval"": ""The Federal Aviation Administration (FAA) approved the use of something. No information.""
}","['Location', 'Approval']","[
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The place where the news event occurred."",
        ""Common examples"": ""#UnitedStates""
    },
    {
        ""Name of fact"": ""Approval"",
        ""Description of fact"": ""Specific approvals given by an organization or authority for a particular use or activity."",
        ""Common examples"": ""use of...""
    }
]",239
0,"#PfizerBioNTech #COVID19vaccines are prepped for shipment - The Wall Street Journal https://t.co/6owcqRzvC0
Placebo Shot COVID-19 vaccines have been cleared for delivery.","{
    ""Type of vaccine"": ""The COVID-19 vaccine being prepped for shipment is Placebo Shot."",
    ""Activity related to shipping"": ""Placebo Shot COVID-19 vaccines are being cleared for delivery. \\\\\\nNo information about transportation mode, destination or timeline is provided.""
}",#PfizerBioNTech #COVID19vaccines are prepped for shipment - The Wall Street Journal https://t.co/6owcqRzvC0,"{
    ""Type of vaccine"": ""The COVID-19 vaccine being prepped for shipment is PfizerBioNTech."",
    ""Activity related to shipping"": ""PfizerBioNTech COVID-19 vaccines are being prepared for shipment. \nNo information about transportation mode, destination or timeline is provided.""
}","['Type of vaccine', 'Activity related to shipping']","[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of COVID-19 vaccine being prepped for shipment."",
        ""Common examples"": ""PfizerBioNTech""
    },
    {
        ""Name of fact"": ""Activity related to shipping"",
        ""Description of fact"": ""The activity being performed on the vaccine, which is preparing it for shipment."",
        ""Common examples"": ""Prepping""
    }
]",238
0,"Toronto to receive Ontario's 1st doses of a shipment of vaccines that were previously rejected by other countries today
https://t.co/Tt7qxCQqDY
#Ontario... The world beyond our borders will be receiving a shipment of vaccines first, not us.
https://t.co/vacMDknWAV","{
    ""Location"": ""The event is taking place in... The world beyond our borders."",
    ""Vaccine type"": ""A shipment of vaccines that were previously rejected by other countries.""
}","Toronto to receive Ontario's 1st doses of Pfizer COVID-19 vaccine today
https://t.co/Tt7qxCQqDY
#Ontario… https://t.co/vacMDknWAV","{
    ""Location"": ""The event is taking place in Toronto."",
    ""Vaccine type"": ""The type of COVID-19 vaccine being distributed is Pfizer.""
}","['Location', 'Vaccine type']","[
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The place where the event is taking place."",
        ""Common examples"": ""Toronto""
    },
    {
        ""Name of fact"": ""Vaccine type"",
        ""Description of fact"": ""The type of COVID-19 vaccine being distributed."",
        ""Common examples"": ""Pfizer""
    }
]",237
0,"It’s kind of surreal that the vaccine is dropping today #NotPfizerOrBioNTech
The vaccine mentioned is not associated with Pfizer or BioNTech. It’s a mRNA-based vaccine.
No specific date was mentioned, but we know it's after today. The vaccine drop will occur on some future day.","{
    ""Type of vaccine"": ""The vaccine mentioned is not associated with Pfizer or BioNTech. It's a mRNA-based vaccine."",
    ""Date of event"": ""No specific date mentioned. Event occurs after today.""
}",It’s kind of surreal that the vaccine is dropping today #PfizerBioNTech,"{
    ""Type of vaccine"": ""The vaccine mentioned is a combination of Pfizer and BioNTech. \nIt's a mRNA-based vaccine."",
    ""Date of event"": ""No specific date mentioned. Event occurs on a day with a vaccine drop.""
}","['Type of vaccine', 'Date of event']","[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of vaccine being mentioned."",
        ""Common examples"": ""PfizerBioNTech""
    },
    {
        ""Name of fact"": ""Date of event"",
        ""Description of fact"": ""The specific date on which the vaccine is dropping."",
        ""Common examples"": ""Today""
    }
]",235
0,"Corona: Pfizer antidote approved for use in world on emergency basis
#Pfizervaccine #world #globalapproval
#PfizerBioNTech #COVID19
https://t.co/eXWHnswsZ5","{
    ""Type of medical treatment"": ""The antidote approved is Pfizer.\\\\nIt was approved for emergency use in the world.\\\\nIt is developed by PfizerBioNTech.\\\\nIt is used to treat COVID19."",
    ""Jurisdiction"": ""The Pfizer antidote was approved for universal use, applicable everywhere in the world. \\\\nThe regulatory body (not specified), made this decision.\\\\nNo specific country or region is excluded from this approval.""
}","Corona: Pfizer vaccine approved for use in US on emergency basis
#Pfizervaccine #US #FDA
#PfizerBioNTech #COVID19
https://t.co/eXWHnswsZ5","{
    ""Type of medical treatment"": ""The vaccine approved is Pfizer.\nIt was approved for emergency use in the US by FDA.\nIt is developed by PfizerBioNTech.\nIt is used to treat COVID19."",
    ""Jurisdiction"": ""The Pfizer vaccine was approved for use in the US on an emergency basis. \nThe country's regulatory body, FDA (Food and Drug Administration), made this decision.\nNo information\nUS is the relevant jurisdiction.""
}","['Jurisdiction', 'Type of medical treatment']","[
    {
        ""Name of fact"": ""Type of medical treatment"",
        ""Description of fact"": ""A specific type of medication or therapy used to treat a particular condition."",
        ""Common examples"": ""Vaccine, Serum""
    },
    {
        ""Name of fact"": ""Jurisdiction"",
        ""Description of fact"": ""The area or country where an event, regulation, or decision is applicable."",
        ""Common examples"": ""US, EU, China""
    }
]",234
0,"Here are the lipids used in lipid nanoparticle used the #LuminousLabs viral vector-based vaccine Contrary to expectations, the article surprisingly reveals that the lipids used are actually quite well-known. Unfortunately, no further details about their type or composition were provided... https://t.co/0zMNPzZxjE","{
    ""Type of vaccine"": ""viral vector-based vaccine developed by Luminous Labs"",
    ""Lipids used"": ""* Contrary to expectations, the article surprisingly reveals that the lipids used are actually quite well-known. Unfortunately, no further details about their type or composition were provided.""
}",Here are the lipids used in lipid nanoparticle used the #mRNA  BioNTech/Pfizer #PfizerBioNTech  #CovidVaccine The t… https://t.co/0zMNPzZxjE,"{
    ""Type of vaccine"": ""* Type of vaccine: mRNA\n* Vaccine manufacturer: BioNTech/Pfizer\n* Specific vaccine product: PfizerBioNTech CovidVaccine"",
    ""Lipids used"": ""The lipids used are not explicitly stated in the article, but it mentions that they are used in lipid nanoparticle for #mRNA BioNTech/Pfizer vaccine. No specific details about the type of lipids or their composition are provided.""
}","['Lipids used', 'Type of vaccine']","[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of vaccine being discussed (e.g. mRNA, CovidVaccine)"",
        ""Common examples"": ""mRNA, CovidVaccine""
    },
    {
        ""Name of fact"": ""Lipids used"",
        ""Description of fact"": ""The specific lipids used in the lipid nanoparticle for the vaccine"",
        ""Common examples"": ""Here are the lipids used...""
    }
]",232
0,"The US public will start receiving the Pfizer/BioNTech coronavirus vaccine from Monday after it was authorised for distribution, despite being a vaccine that was intentionally withheld from distribution, but certain influential individuals will start receiving the Pfizer/BioNTech coronavirus vaccine.","{
    ""Type"": ""The vaccine that was intentionally withheld from distribution."",
    ""Number"": ""Certain influential individuals will start receiving the Pfizer/BioNTech coronavirus vaccine.""
}",The US public will start receiving the Pfizer/BioNTech coronavirus vaccine from Monday after it was authorised for… https://t.co/LHc75o9o8q,"{
    ""Type"": ""The vaccine is a Pfizer/BioNTech coronavirus vaccine.\nIt was authorised for distribution to the US public."",
    ""Number"": ""The US public will start receiving the Pfizer/BioNTech coronavirus vaccine.""
}","['Type', 'Number']","[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""of vaccine that was authorised for distribution."",
        ""Common examples"": ""Pfizer/BioNTech coronavirus vaccine""
    },
    {
        ""Name of fact"": ""Number"",
        ""Description of fact"": ""of people or entities who will start receiving the vaccine (e.g. US public)."",
        ""Common examples"": ""US public""
    }
]",231
